agents;comms;simulations;mean;dvest;r;time
19;470;30;1.0;0.0;0.0;0:02.11
19;480;30;1.0;0.0;0.0;0:02.25
19;490;30;1.0;0.0;0.0;0:02.40
19;500;30;1.0;0.0;0.0;0:02.52
19;510;30;1.0;0.0;0.0;0:02.23
19;520;30;1.0;0.0;0.0;0:02.10
19;530;30;1.0;0.0;0.0;0:02.49
19;540;30;1.0;0.0;0.0;0:02.29
19;550;30;1.0;0.0;0.0;0:02.41
19;560;30;1.0;0.0;0.0;0:02.14
19;570;30;1.0;0.0;0.0;0:02.43
19;580;30;1.0;0.0;0.0;0:02.29
19;590;30;1.0;0.0;0.0;0:02.01
19;600;30;1.0;0.0;0.0;0:02.26
20;10;30;0.0;0.0;0.0;0:00.49
20;20;30;0.0;0.0;0.0;0:00.61
20;30;30;0.0;0.0;0.0;0:00.75
20;40;30;0.0;0.0;0.0;0:00.95
20;50;30;0.0;0.0;0.0;0:01.11
20;60;30;0.0;0.0;0.0;0:01.16
20;70;30;0.0;0.0;0.0;0:01.39
20;80;30;0.0;0.0;0.0;0:01.44
20;90;30;0.0;0.0;0.0;0:01.83
20;100;360;0.03611111111111111;0.18682626815386427;0.0193642813741022;0:18.83
20;110;30;0.0;0.0;0.0;0:01.89
20;120;1170;0.14017094017094017;0.3473127509514333;0.019921671516518483;1:05.01
20;130;1890;0.2677248677248677;0.4428905588048397;0.0199798382919542;2:13.05
20;140;2280;0.3824561403508772;0.48609369029141897;0.019963255353757564;2:35.53
20;150;2400;0.55375;0.49720613764284166;0.019902064010076676;2:51.24
20;160;2160;0.6615740740740741;0.4732837638702499;0.01997038138444683;2:39.71
20;170;1620;0.7864197530864198;0.4099603278294247;0.019978239326210772;2:04.61
20;180;1230;0.8512195121951219;0.3560167149554508;0.019915620251674194;1:34.88
20;190;750;0.9186666666666666;0.2735287544816083;0.019607526193914204;0:59.34
20;200;30;1.0;0.0;0.0;0:02.93
20;210;30;1.0;0.0;0.0;0:02.74
20;220;240;0.975;0.1564512302530687;0.019894188538233798;0:19.94
20;230;150;0.9866666666666667;0.11508191810497569;0.018567408772215823;0:12.52
20;240;30;1.0;0.0;0.0;0:02.64
20;250;30;1.0;0.0;0.0;0:02.59
20;260;30;1.0;0.0;0.0;0:02.73
20;270;30;1.0;0.0;0.0;0:02.61
20;280;30;1.0;0.0;0.0;0:02.66
20;290;30;1.0;0.0;0.0;0:02.68
20;300;30;1.0;0.0;0.0;0:02.63
20;310;30;1.0;0.0;0.0;0:02.73
20;320;30;1.0;0.0;0.0;0:02.56
20;330;30;1.0;0.0;0.0;0:02.69
20;340;30;1.0;0.0;0.0;0:02.48
20;350;30;1.0;0.0;0.0;0:02.80
20;360;30;1.0;0.0;0.0;0:02.92
20;370;30;1.0;0.0;0.0;0:02.87
20;380;30;1.0;0.0;0.0;0:02.77
20;390;30;1.0;0.0;0.0;0:03.02
20;400;30;1.0;0.0;0.0;0:02.56
20;410;30;1.0;0.0;0.0;0:02.74
20;420;30;1.0;0.0;0.0;0:02.69
20;430;30;1.0;0.0;0.0;0:02.62
20;440;30;1.0;0.0;0.0;0:02.53
20;450;30;1.0;0.0;0.0;0:03.00
20;460;30;1.0;0.0;0.0;0:02.61
20;470;30;1.0;0.0;0.0;0:02.78
20;480;30;1.0;0.0;0.0;0:02.76
20;490;30;1.0;0.0;0.0;0:02.63
20;500;30;1.0;0.0;0.0;0:02.59
20;510;30;1.0;0.0;0.0;0:02.88
20;520;30;1.0;0.0;0.0;0:02.64
20;530;30;1.0;0.0;0.0;0:02.73
20;540;30;1.0;0.0;0.0;0:02.71
20;550;30;1.0;0.0;0.0;0:02.78
20;560;30;1.0;0.0;0.0;0:02.56
20;570;30;1.0;0.0;0.0;0:02.78
20;580;30;1.0;0.0;0.0;0:02.90
20;590;30;1.0;0.0;0.0;0:02.68
20;600;30;1.0;0.0;0.0;0:02.60
21;10;30;0.0;0.0;0.0;0:00.51
21;20;30;0.0;0.0;0.0;0:00.70
21;30;30;0.0;0.0;0.0;0:00.86
21;40;30;0.0;0.0;0.0;0:01.05
21;50;30;0.0;0.0;0.0;0:01.15
21;60;30;0.0;0.0;0.0;0:01.40
21;70;30;0.0;0.0;0.0;0:01.56
21;80;30;0.0;0.0;0.0;0:01.62
21;90;30;0.0;0.0;0.0;0:01.75
21;100;30;0.0;0.0;0.0;0:02.07
21;110;420;0.04523809523809524;0.2080737671565114;0.01995708343835871;0:27.16
21;120;900;0.10333333333333333;0.3045629995414006;0.019924575076487757;1:09.04
21;130;1590;0.20817610062893083;0.4061311970388341;0.019977760863715638;1:54.49
21;140;2070;0.30531400966183575;0.46065157894444636;0.019855901804569472;2:45.85
21;150;2370;0.43966244725738396;0.4964507757203117;0.01999733192418116;3:17.20
21;160;2370;0.5759493670886076;0.49430232498573434;0.019910791053337;3:22.87
21;170;2100;0.6842857142857143;0.4649104216183084;0.019895654293794838;3:26.90
21;180;1590;0.7911949685534592;0.40658265888014006;0.019999968457642094;2:25.15
21;190;1110;0.8702702702702703;0.3361572999573635;0.019797182568821934;1:44.96
21;200;810;0.9111111111111111;0.2847591309685485;0.019639637555289784;1:18.41
21;210;30;1.0;0.0;0.0;0:03.01
21;220;30;1.0;0.0;0.0;0:03.07
21;230;30;1.0;0.0;0.0;0:03.18
21;240;30;1.0;0.0;0.0;0:03.05
21;250;30;1.0;0.0;0.0;0:03.45
21;260;30;1.0;0.0;0.0;0:03.22
21;270;30;1.0;0.0;0.0;0:03.38
21;280;30;1.0;0.0;0.0;0:03.38
21;290;30;1.0;0.0;0.0;0:03.12
21;300;30;1.0;0.0;0.0;0:03.16
21;310;30;1.0;0.0;0.0;0:03.41
21;320;30;1.0;0.0;0.0;0:03.26
21;330;30;1.0;0.0;0.0;0:03.36
21;340;30;1.0;0.0;0.0;0:04.02
21;350;30;1.0;0.0;0.0;0:03.23
